name,full_name,owner,html_url,description,language,stars,forks,watchers,open_issues,created_at,updated_at,repo_age_days
build-your-own-x,codecrafters-io/build-your-own-x,codecrafters-io,https://github.com/codecrafters-io/build-your-own-x,Master programming by recreating your favorite technologies from scratch.,Markdown,485494,45668,485494,460,2018-05-09 12:03:18+00:00,2026-04-02 08:19:30+00:00,2884
awesome,sindresorhus/awesome,sindresorhus,https://github.com/sindresorhus/awesome,😎 Awesome lists about all kinds of interesting topics,Unknown,451004,33892,451004,59,2014-07-11 13:42:37+00:00,2026-04-02 08:19:12+00:00,4282
freeCodeCamp,freeCodeCamp/freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",TypeScript,440477,43959,440477,209,2014-12-24 17:49:19+00:00,2026-04-02 08:11:44+00:00,4116
public-apis,public-apis/public-apis,public-apis,https://github.com/public-apis/public-apis,A collective list of free APIs,Python,418274,45438,418274,1172,2016-03-20 23:49:42+00:00,2026-04-02 08:23:28+00:00,3664
free-programming-books,EbookFoundation/free-programming-books,EbookFoundation,https://github.com/EbookFoundation/free-programming-books,:books: Freely available programming books,Python,384854,66080,384854,78,2013-10-11 06:50:37+00:00,2026-04-02 08:29:00+00:00,4556
developer-roadmap,kamranahmedse/developer-roadmap,kamranahmedse,https://github.com/kamranahmedse/developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",TypeScript,352031,43864,352031,2,2017-03-15 13:45:52+00:00,2026-04-02 08:27:38+00:00,3304
openclaw,openclaw/openclaw,openclaw,https://github.com/openclaw/openclaw,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,TypeScript,345210,68574,345210,17068,2025-11-24 10:16:47+00:00,2026-04-02 08:28:12+00:00,128
system-design-primer,donnemartin/system-design-primer,donnemartin,https://github.com/donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,Python,340976,55153,340976,521,2017-02-26 16:15:28+00:00,2026-04-02 08:24:47+00:00,3321
coding-interview-university,jwasham/coding-interview-university,jwasham,https://github.com/jwasham/coding-interview-university,A complete computer science study plan to become a software engineer.,Unknown,340116,81840,340116,103,2016-06-06 02:34:12+00:00,2026-04-02 08:21:03+00:00,3587
awesome-python,vinta/awesome-python,vinta,https://github.com/vinta/awesome-python,"An opinionated list of Python frameworks, libraries, tools, and resources",Python,290201,27552,290201,16,2014-06-27 21:00:06+00:00,2026-04-02 08:18:54+00:00,4296
awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers,Unknown,283446,13052,283446,0,2015-06-01 02:33:17+00:00,2026-04-02 08:29:08+00:00,3958
996.ICU,996icu/996.ICU,996icu,https://github.com/996icu/996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,Unknown,275793,20919,275793,16698,2019-03-26 07:31:14+00:00,2026-04-02 07:18:16+00:00,2564
project-based-learning,practical-tutorials/project-based-learning,practical-tutorials,https://github.com/practical-tutorials/project-based-learning,Curated list of project-based tutorials,Unknown,262176,34106,262176,284,2017-04-12 05:07:46+00:00,2026-04-02 08:27:39+00:00,3277
react,facebook/react,facebook,https://github.com/facebook/react,The library for web and native user interfaces.,JavaScript,244325,50876,244325,1200,2013-05-24 16:15:54+00:00,2026-04-02 08:08:42+00:00,4695
linux,torvalds/linux,torvalds,https://github.com/torvalds/linux,Linux kernel source tree,C,226486,61322,226486,3,2011-09-04 22:48:12+00:00,2026-04-02 08:20:09+00:00,5323
Python,TheAlgorithms/Python,TheAlgorithms,https://github.com/TheAlgorithms/Python,All Algorithms implemented in Python,Python,219201,50289,219201,912,2016-07-16 09:44:01+00:00,2026-04-02 08:24:49+00:00,3546
the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,trimstray,https://github.com/trimstray/the-book-of-secret-knowledge,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",Unknown,212885,12742,212885,125,2018-06-23 10:43:14+00:00,2026-04-02 08:19:55+00:00,2839
vue,vuejs/vue,vuejs,https://github.com/vuejs/vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",TypeScript,209898,33834,209898,622,2013-07-29 03:24:51+00:00,2026-04-02 07:15:04+00:00,4630
computer-science,ossu/computer-science,ossu,https://github.com/ossu/computer-science,🎓 Path to a free self-taught education in Computer Science!,HTML,202853,25210,202853,23,2014-05-04 00:18:39+00:00,2026-04-02 08:15:15+00:00,4351
javascript-algorithms,trekhleb/javascript-algorithms,trekhleb,https://github.com/trekhleb/javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,JavaScript,195778,31099,195778,399,2018-03-24 07:47:04+00:00,2026-04-02 07:23:57+00:00,2931
tensorflow,tensorflow/tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,C++,194432,75259,194432,4062,2015-11-07 01:19:20+00:00,2026-04-02 08:23:45+00:00,3799
